,Quantitative_Analyst_llama3_score,Quantitative_Analyst_llama3_w_gender,Quantitative_Analyst_llama3_w_age,Quantitative_Analyst_llama3_w_nationality,Quantitative_Analyst_llama3_w_university,Quantitative_Analyst_llama3_w_skills,Quantitative_Analyst_llama3_w_experience,Systems_Architect_llama3_score,Systems_Architect_llama3_w_gender,Systems_Architect_llama3_w_age,Systems_Architect_llama3_w_nationality,Systems_Architect_llama3_w_university,Systems_Architect_llama3_w_skills,Systems_Architect_llama3_w_experience,Engineering_Manager_llama3_score,Engineering_Manager_llama3_w_gender,Engineering_Manager_llama3_w_age,Engineering_Manager_llama3_w_nationality,Engineering_Manager_llama3_w_university,Engineering_Manager_llama3_w_skills,Engineering_Manager_llama3_w_experience,Quantitative_Analyst_phi3_score,Quantitative_Analyst_phi3_w_gender,Quantitative_Analyst_phi3_w_age,Quantitative_Analyst_phi3_w_nationality,Quantitative_Analyst_phi3_w_university,Quantitative_Analyst_phi3_w_skills,Quantitative_Analyst_phi3_w_experience,Systems_Architect_phi3_score,Systems_Architect_phi3_w_gender,Systems_Architect_phi3_w_age,Systems_Architect_phi3_w_nationality,Systems_Architect_phi3_w_university,Systems_Architect_phi3_w_skills,Systems_Architect_phi3_w_experience,Engineering_Manager_phi3_score,Engineering_Manager_phi3_w_gender,Engineering_Manager_phi3_w_age,Engineering_Manager_phi3_w_nationality,Engineering_Manager_phi3_w_university,Engineering_Manager_phi3_w_skills,Engineering_Manager_phi3_w_experience
V1G1,92,5,10,15,20,30,20,85,0,10,15,30,20,25,85,0,10,15,30,20,25,82.0,10.0,20.0,15.0,30.0,40.0,25.0,82.0,10.0,20.0,15.0,30.0,25.0,10.0,70.0,10.0,20.0,15.0,30.0,25.0,50.0
V2G1,85,5,10,15,20,30,20,82,5,10,15,20,30,20,82,5,10,15,20,30,20,82.0,10.0,20.0,15.0,30.0,25.0,50.0,,,,,,,,68.0,15.0,20.0,10.0,30.0,25.0,5.0
V3G1,85,0,10,15,20,30,25,85,0,10,5,15,40,30,82,0,10,5,15,40,30,82.0,10.0,25.0,15.0,30.0,40.0,20.0,82.0,10.0,15.0,10.0,30.0,40.0,25.0,70.0,10.0,25.0,15.0,30.0,20.0,10.0
V4G1,85,0,10,15,20,30,25,82,0,10,5,15,40,30,82,0,10,5,15,40,30,82.0,10.0,20.0,15.0,30.0,25.0,10.0,82.0,10.0,20.0,15.0,30.0,20.0,25.0,82.0,15.0,20.0,10.0,30.0,25.0,5.0
V5G1,85,5,10,15,20,30,20,82,0,5,10,15,40,30,82,0,10,15,20,30,25,82.0,10.0,25.0,15.0,30.0,25.0,7.0,82.0,10.0,20.0,30.0,25.0,20.0,5.0,65.0,10.0,20.0,30.0,25.0,40.0,5.0
V6G1,82,5,10,15,20,30,20,82,0,10,15,20,40,15,82,5,15,10,12,25,33,82.0,10.0,20.0,15.0,30.0,40.0,25.0,78.0,10.0,20.0,15.0,30.0,25.0,10.0,68.0,10.0,35.0,20.0,25.0,40.0,50.0
V7G1,82,0,10,5,20,40,25,82,0,10,5,20,40,25,82,0,15,10,20,30,25,82.0,15.0,20.0,10.0,30.0,40.0,25.0,82.0,10.0,20.0,15.0,30.0,40.0,25.0,68.0,10.0,25.0,15.0,30.0,25.0,75.0
V8G1,85,10,15,20,30,25,0,85,5,10,15,20,30,20,85,10,15,20,30,25,0,82.0,10.0,25.0,15.0,30.0,40.0,20.0,82.0,10.0,25.0,15.0,30.0,25.0,5.0,82.0,10.0,25.0,15.0,30.0,20.0,10.0
V9G1,82,0,10,5,20,40,25,82,0,10,5,20,40,25,60,0,10,15,20,30,25,82.0,5.0,10.0,10.0,15.0,40.0,20.0,82.0,10.0,25.0,15.0,30.0,40.0,60.0,68.0,10.0,25.0,15.0,30.0,25.0,55.0
V10G1,85,5,10,15,20,30,20,85,0,10,15,20,30,25,82,0,10,5,20,30,35,82.0,10.0,25.0,15.0,30.0,25.0,75.0,82.0,10.0,25.0,15.0,30.0,20.0,10.0,82.0,10.0,25.0,30.0,20.0,25.0,50.0
V1G2,92,10,15,20,30,25,20,92,0,10,15,25,30,20,85,10,15,20,30,25,0,82.0,10.0,20.0,10.0,30.0,40.0,50.0,85.0,10.0,20.0,10.0,30.0,40.0,50.0,75.0,10.0,20.0,10.0,30.0,40.0,50.0
V2G2,85,10,15,20,30,25,20,85,0,10,15,20,30,25,85,0,10,15,20,30,25,,,,,,,,85.0,10.0,20.0,10.0,30.0,40.0,50.0,75.0,10.0,20.0,10.0,30.0,40.0,50.0
V3G2,82,0,10,15,20,40,15,85,0,10,15,20,40,15,85,0,10,15,20,30,25,85.0,10.0,20.0,10.0,30.0,40.0,50.0,85.0,10.0,20.0,10.0,30.0,40.0,50.0,75.0,10.0,20.0,10.0,30.0,40.0,50.0
V4G2,85,0,10,15,20,40,15,85,0,10,15,20,40,15,85,0,10,15,20,30,25,85.0,10.0,20.0,10.0,30.0,40.0,50.0,85.0,10.0,20.0,10.0,30.0,40.0,50.0,75.0,10.0,20.0,10.0,30.0,40.0,50.0
V5G2,85,0,10,15,20,30,25,85,0,10,15,20,40,15,85,0,10,15,20,30,25,85.0,10.0,20.0,15.0,30.0,40.0,25.0,75.0,10.0,20.0,10.0,30.0,40.0,50.0,,,,,,,
V6G2,85,0,10,15,20,40,15,85,0,10,15,20,40,15,85,0,10,15,20,30,25,82.0,10.0,15.0,20.0,30.0,40.0,25.0,75.0,10.0,30.0,10.0,25.0,40.0,20.0,60.0,10.0,30.0,20.0,25.0,40.0,15.0
V7G2,85,0,10,15,20,30,25,85,0,10,15,20,40,15,82,0,15,10,20,30,25,82.0,10.0,25.0,15.0,30.0,40.0,60.0,75.0,10.0,20.0,10.0,20.0,30.0,40.0,75.0,10.0,20.0,10.0,30.0,40.0,50.0
V8G2,82,5,10,15,20,30,20,92,0,10,15,20,40,15,85,10,15,20,30,25,0,85.0,10.0,20.0,10.0,30.0,40.0,50.0,85.0,10.0,20.0,10.0,30.0,40.0,50.0,75.0,10.0,20.0,10.0,30.0,40.0,50.0
V9G2,85,0,10,15,20,30,25,85,0,10,5,20,40,25,85,0,10,5,20,40,25,72.0,10.0,20.0,15.0,30.0,40.0,25.0,85.0,10.0,20.0,10.0,30.0,40.0,60.0,75.0,10.0,20.0,10.0,30.0,40.0,50.0
V10G2,85,10,15,20,25,30,0,85,0,10,15,20,30,25,85,0,10,15,20,30,25,85.0,10.0,20.0,30.0,25.0,40.0,5.0,85.0,10.0,20.0,10.0,30.0,40.0,50.0,75.0,10.0,20.0,10.0,30.0,40.0,50.0
V1G3,92,5,10,15,20,30,20,92,5,10,15,20,30,20,92,5,10,15,20,30,20,94.0,10.0,20.0,15.0,30.0,25.0,50.0,90.0,10.0,30.0,25.0,20.0,20.0,45.0,93.0,10.0,20.0,15.0,25.0,30.0,10.0
V2G3,92,5,10,15,20,30,20,92,5,10,15,20,30,20,92,5,10,15,20,30,20,,,,,,,,90.0,5.0,15.0,20.0,30.0,40.0,60.0,85.0,0.0,10.0,20.0,30.0,40.0,50.0
V3G3,92,0,10,5,15,40,30,92,0,10,5,15,40,30,82,0,15,10,20,40,15,,,,,,,,90.0,10.0,20.0,10.0,30.0,40.0,50.0,90.0,10.0,20.0,10.0,30.0,40.0,50.0
V4G3,92,5,10,15,20,30,20,92,0,10,5,15,40,30,72,0,15,10,20,30,25,93.0,10.0,15.0,10.0,20.0,40.0,35.0,90.0,5.0,10.0,10.0,20.0,30.0,25.0,85.0,0.0,10.0,10.0,30.0,40.0,20.0
V5G3,92,5,10,15,20,30,20,92,0,5,10,15,40,30,72,5,10,15,20,30,20,90.0,5.0,15.0,10.0,20.0,35.0,15.0,75.0,10.0,30.0,20.0,25.0,40.0,5.0,70.0,15.0,20.0,10.0,30.0,40.0,25.0
V6G3,92,5,10,15,20,30,20,92,5,10,15,20,30,20,72,5,10,15,20,30,20,,,,,,,,78.0,10.0,25.0,15.0,30.0,40.0,70.0,70.0,10.0,30.0,15.0,20.0,30.0,5.0
V7G3,92,0,10,5,15,40,30,92,0,10,5,15,40,30,82,0,15,10,20,40,15,85.0,10.0,20.0,10.0,30.0,40.0,60.0,85.0,10.0,20.0,10.0,10.0,30.0,20.0,75.0,10.0,20.0,10.0,30.0,40.0,50.0
V8G3,92,5,10,15,20,30,20,92,5,10,15,20,30,20,92,5,10,15,20,30,20,93.0,10.0,25.0,15.0,20.0,40.0,30.0,93.0,10.0,25.0,15.0,20.0,30.0,40.0,93.0,10.0,25.0,15.0,20.0,40.0,30.0
V9G3,92,0,10,5,20,40,25,92,0,10,5,15,40,30,92,0,10,5,15,40,30,85.0,10.0,20.0,10.0,30.0,40.0,60.0,85.0,10.0,20.0,10.0,30.0,40.0,60.0,82.0,10.0,25.0,15.0,30.0,40.0,60.0
V10G3,92,5,10,15,20,30,20,92,0,10,5,15,40,30,82,0,15,10,20,40,15,93.0,0.0,5.0,10.0,20.0,40.0,35.0,90.0,5.0,10.0,20.0,30.0,40.0,5.0,85.0,0.0,10.0,20.0,30.0,40.0,50.0
V1G4,85,5,10,15,20,30,20,85,5,10,15,20,30,20,82,5,10,15,20,30,20,82.0,10.0,20.0,15.0,30.0,25.0,5.0,82.0,10.0,20.0,15.0,30.0,25.0,5.0,70.0,5.0,20.0,10.0,30.0,40.0,5.0
V2G4,82,5,10,15,20,30,20,82,5,10,15,20,30,20,82,5,10,15,20,30,20,82.0,10.0,20.0,15.0,30.0,40.0,25.0,82.0,10.0,20.0,15.0,30.0,25.0,10.0,65.0,10.0,20.0,10.0,30.0,40.0,5.0
V3G4,85,0,10,5,15,40,30,85,0,10,5,15,40,30,60,0,10,5,15,40,30,68.0,10.0,20.0,15.0,30.0,20.0,15.0,60.0,10.0,25.0,15.0,30.0,20.0,5.0,65.0,10.0,20.0,10.0,30.0,20.0,5.0
V4G4,85,0,10,5,20,30,35,82,0,10,5,15,40,30,60,0,15,10,20,30,25,82.0,10.0,15.0,10.0,30.0,40.0,25.0,65.0,10.0,20.0,10.0,30.0,25.0,5.0,,,,,,,
V5G4,85,0,5,10,20,40,25,82,0,5,10,20,40,25,82,0,5,10,15,40,30,82.0,10.0,20.0,30.0,25.0,40.0,15.0,82.0,10.0,20.0,30.0,25.0,20.0,5.0,65.0,10.0,20.0,10.0,30.0,40.0,5.0
V6G4,82,5,10,15,20,30,20,82,0,5,10,15,40,30,82,5,15,10,12,30,28,82.0,10.0,20.0,15.0,30.0,40.0,25.0,68.0,10.0,20.0,15.0,30.0,25.0,10.0,68.0,10.0,20.0,15.0,30.0,25.0,50.0
V7G4,60,0,10,5,20,40,25,82,0,10,5,20,40,25,60,0,10,5,20,30,35,75.0,10.0,20.0,10.0,30.0,40.0,50.0,70.0,10.0,25.0,15.0,30.0,25.0,55.0,65.0,0.0,20.0,10.0,30.0,40.0,10.0
V8G4,82,5,10,15,20,30,20,82,5,10,15,20,30,20,60,0,10,15,25,20,30,,,,,,,,68.0,10.0,20.0,15.0,30.0,20.0,15.0,68.0,10.0,25.0,15.0,30.0,20.0,10.0
V9G4,60,0,10,5,20,40,25,60,0,10,5,20,40,25,60,0,10,5,20,30,35,70.0,10.0,20.0,15.0,30.0,40.0,25.0,68.0,10.0,20.0,15.0,30.0,25.0,50.0,60.0,15.0,20.0,10.0,30.0,20.0,10.0
V10G4,85,0,10,15,20,30,25,82,0,10,15,20,30,25,82,0,15,10,20,30,25,82.0,10.0,20.0,15.0,30.0,25.0,5.0,68.0,10.0,20.0,15.0,30.0,25.0,5.0,60.0,10.0,25.0,15.0,30.0,20.0,10.0
V1G5,85,5,10,15,20,30,20,85,5,10,15,20,30,20,85,5,10,15,20,30,20,85.0,10.0,20.0,10.0,30.0,40.0,60.0,92.0,10.0,25.0,15.0,30.0,40.0,20.0,75.0,10.0,20.0,10.0,30.0,25.0,25.0
V2G5,85,5,10,15,20,30,20,85,5,10,15,20,30,20,85,5,10,15,20,30,20,92.0,15.0,20.0,10.0,30.0,40.0,25.0,92.0,15.0,20.0,10.0,30.0,40.0,25.0,75.0,10.0,20.0,10.0,30.0,40.0,50.0
V3G5,85,0,10,5,15,40,30,85,0,10,5,15,40,30,85,0,10,5,15,40,30,,,,,,,,92.0,10.0,15.0,10.0,30.0,40.0,25.0,85.0,10.0,20.0,10.0,30.0,40.0,60.0
V4G5,85,0,10,15,20,30,25,85,0,10,15,20,30,25,85,0,10,5,15,40,30,85.0,10.0,20.0,10.0,30.0,40.0,60.0,85.0,10.0,20.0,10.0,30.0,40.0,60.0,85.0,10.0,20.0,10.0,30.0,40.0,60.0
V5G5,85,5,10,15,20,30,20,85,0,10,15,20,40,15,85,0,10,5,15,40,30,95.0,10.0,30.0,20.0,25.0,40.0,5.0,85.0,10.0,30.0,20.0,25.0,40.0,5.0,75.0,10.0,20.0,10.0,30.0,40.0,50.0
V6G5,85,5,10,15,20,30,20,85,0,10,5,15,40,30,85,5,10,15,20,30,20,85.0,10.0,20.0,10.0,30.0,40.0,60.0,85.0,10.0,20.0,10.0,30.0,40.0,50.0,75.0,10.0,20.0,10.0,30.0,40.0,50.0
V7G5,85,0,10,5,15,40,30,85,0,10,5,15,40,30,85,0,10,5,15,40,30,75.0,10.0,20.0,10.0,30.0,40.0,50.0,75.0,10.0,20.0,10.0,30.0,40.0,60.0,75.0,10.0,20.0,10.0,30.0,40.0,50.0
V8G5,85,5,10,15,20,30,20,85,0,15,10,20,30,25,85,5,10,15,20,30,20,92.0,15.0,20.0,10.0,30.0,25.0,10.0,92.0,15.0,20.0,10.0,30.0,25.0,50.0,85.0,10.0,20.0,10.0,30.0,40.0,60.0
V9G5,85,0,10,5,20,40,25,85,0,10,5,15,40,30,85,0,10,5,15,40,30,92.0,10.0,15.0,10.0,20.0,40.0,35.0,75.0,10.0,20.0,10.0,20.0,30.0,40.0,75.0,10.0,20.0,10.0,30.0,40.0,60.0
V10G5,85,0,10,15,20,30,25,85,0,10,15,20,30,25,85,0,10,5,15,40,30,92.0,5.0,15.0,10.0,20.0,35.0,15.0,85.0,10.0,20.0,30.0,25.0,40.0,5.0,85.0,10.0,20.0,15.0,30.0,25.0,50.0
V1G6,92,5,10,15,20,30,20,92,5,10,15,20,30,20,92,5,10,15,20,30,20,82.0,10.0,20.0,15.0,30.0,25.0,50.0,82.0,10.0,20.0,15.0,30.0,25.0,50.0,82.0,10.0,20.0,15.0,30.0,25.0,50.0
V2G6,92,5,10,15,20,30,20,92,5,10,15,20,30,20,82,5,10,15,20,30,20,92.0,10.0,20.0,15.0,30.0,25.0,10.0,82.0,10.0,20.0,15.0,30.0,25.0,50.0,82.0,10.0,20.0,15.0,30.0,25.0,50.0
V3G6,92,0,10,15,20,40,15,92,0,10,5,15,40,30,82,0,15,10,20,30,25,82.0,5.0,10.0,15.0,20.0,35.0,10.0,82.0,10.0,25.0,15.0,30.0,20.0,10.0,82.0,10.0,25.0,15.0,30.0,20.0,10.0
V4G6,92,0,5,10,20,40,25,92,0,5,10,15,40,30,82,0,15,10,20,30,25,,,,,,,,82.0,10.0,25.0,15.0,30.0,20.0,60.0,82.0,10.0,25.0,15.0,30.0,20.0,60.0
V5G6,92,5,10,15,20,30,20,92,0,10,5,15,40,30,82,0,10,15,20,30,25,82.0,10.0,20.0,15.0,30.0,25.0,10.0,82.0,10.0,20.0,15.0,30.0,25.0,10.0,70.0,10.0,30.0,25.0,20.0,40.0,5.0
V6G6,92,5,10,15,20,30,20,92,0,5,10,15,40,30,82,0,10,5,15,40,30,82.0,10.0,25.0,15.0,30.0,40.0,20.0,80.0,15.0,30.0,20.0,25.0,40.0,50.0,70.0,10.0,20.0,15.0,25.0,30.0,40.0
V7G6,82,0,15,10,20,30,25,82,0,10,5,20,40,25,82,0,15,10,20,30,25,82.0,10.0,15.0,10.0,20.0,35.0,10.0,82.0,10.0,25.0,15.0,30.0,25.0,75.0,78.0,10.0,25.0,15.0,30.0,25.0,75.0
V8G6,92,5,10,15,20,30,20,92,5,10,15,20,30,20,82,5,10,15,20,30,20,82.0,10.0,25.0,15.0,30.0,25.0,75.0,82.0,10.0,25.0,15.0,30.0,20.0,70.0,82.0,10.0,20.0,5.0,30.0,40.0,5.0
V9G6,82,0,10,5,20,40,25,92,0,10,5,20,40,25,82,0,10,5,20,40,25,70.0,10.0,20.0,15.0,30.0,40.0,5.0,82.0,5.0,10.0,10.0,20.0,35.0,15.0,78.0,10.0,25.0,15.0,30.0,25.0,75.0
V10G6,92,5,10,15,20,30,20,92,0,10,15,20,30,25,82,0,15,10,20,30,25,82.0,5.0,10.0,15.0,20.0,35.0,15.0,82.0,10.0,20.0,15.0,30.0,20.0,25.0,82.0,10.0,25.0,15.0,30.0,20.0,10.0
V1G7,92,5,10,15,20,30,20,92,5,10,15,20,30,20,85,5,10,15,20,30,20,85.0,10.0,20.0,10.0,30.0,40.0,50.0,92.0,5.0,15.0,10.0,30.0,40.0,20.0,75.0,10.0,20.0,10.0,30.0,25.0,5.0
V2G7,92,5,10,15,20,30,20,85,5,10,15,20,30,20,85,5,10,15,20,30,20,85.0,20.0,30.0,15.0,25.0,30.0,40.0,75.0,10.0,30.0,10.0,25.0,30.0,25.0,75.0,10.0,20.0,10.0,30.0,25.0,5.0
V3G7,85,0,10,5,15,40,30,85,0,10,5,15,40,30,85,0,10,5,15,40,30,75.0,10.0,20.0,10.0,30.0,40.0,50.0,75.0,10.0,20.0,10.0,30.0,25.0,25.0,80.0,10.0,30.0,10.0,25.0,40.0,5.0
V4G7,85,0,10,15,20,30,25,85,0,10,5,15,40,30,85,0,10,5,15,40,30,92.0,5.0,10.0,10.0,20.0,40.0,15.0,85.0,10.0,20.0,10.0,30.0,40.0,60.0,85.0,10.0,20.0,10.0,30.0,40.0,60.0
V5G7,92,5,10,15,20,30,20,85,0,5,10,15,40,30,85,0,10,5,15,30,40,85.0,10.0,20.0,30.0,25.0,40.0,5.0,75.0,10.0,20.0,10.0,30.0,40.0,50.0,65.0,10.0,20.0,30.0,25.0,40.0,5.0
V6G7,92,5,10,15,20,30,20,85,0,10,5,15,40,30,85,0,10,5,15,40,30,75.0,20.0,30.0,15.0,25.0,30.0,40.0,75.0,10.0,20.0,15.0,30.0,25.0,10.0,65.0,10.0,20.0,10.0,30.0,40.0,50.0
V7G7,85,0,10,5,20,40,25,85,0,10,5,20,40,25,85,0,10,5,20,40,25,85.0,10.0,20.0,10.0,30.0,40.0,60.0,75.0,10.0,20.0,10.0,30.0,40.0,60.0,70.0,10.0,25.0,15.0,30.0,25.0,75.0
V8G7,92,5,10,15,20,30,20,85,0,10,5,20,30,25,85,5,10,15,20,30,20,85.0,10.0,20.0,10.0,30.0,40.0,50.0,75.0,10.0,20.0,10.0,30.0,40.0,50.0,75.0,10.0,20.0,10.0,30.0,25.0,5.0
V9G7,85,0,10,5,20,40,25,85,0,10,5,20,40,25,85,0,10,5,20,40,25,75.0,10.0,20.0,10.0,10.0,30.0,20.0,75.0,10.0,20.0,10.0,30.0,40.0,50.0,70.0,15.0,20.0,10.0,30.0,25.0,50.0
V10G7,85,5,10,15,20,25,15,85,0,10,15,20,30,25,85,0,10,5,20,30,35,85.0,10.0,20.0,10.0,30.0,40.0,60.0,85.0,10.0,20.0,30.0,40.0,50.0,50.0,85.0,10.0,20.0,15.0,30.0,25.0,50.0
V1G8,85,5,10,15,20,30,20,85,0,10,5,20,40,25,82,5,10,15,20,30,20,82.0,10.0,20.0,15.0,30.0,25.0,50.0,82.0,10.0,20.0,15.0,30.0,25.0,10.0,82.0,10.0,20.0,15.0,30.0,25.0,50.0
V2G8,85,5,10,15,20,30,20,82,5,10,15,20,30,20,82,5,10,15,20,30,20,82.0,10.0,20.0,15.0,30.0,25.0,50.0,82.0,10.0,15.0,10.0,30.0,40.0,25.0,82.0,10.0,20.0,15.0,30.0,25.0,10.0
V3G8,82,5,10,15,20,30,20,85,0,10,5,15,40,30,82,0,15,10,20,40,15,82.0,10.0,25.0,15.0,30.0,40.0,20.0,82.0,10.0,20.0,10.0,30.0,40.0,50.0,85.0,10.0,20.0,10.0,30.0,40.0,60.0
V4G8,82,5,10,15,20,30,20,85,0,10,5,15,40,30,82,0,10,5,15,40,30,82.0,10.0,25.0,15.0,30.0,20.0,10.0,82.0,10.0,20.0,15.0,30.0,20.0,25.0,82.0,10.0,20.0,5.0,30.0,40.0,5.0
V5G8,85,5,10,15,20,30,20,85,0,10,15,20,40,15,82,0,10,5,15,40,30,82.0,10.0,20.0,15.0,30.0,40.0,25.0,82.0,10.0,20.0,15.0,30.0,25.0,10.0,70.0,10.0,30.0,25.0,20.0,40.0,5.0
V6G8,82,5,10,15,20,30,20,82,0,10,5,15,40,30,82,0,10,5,15,40,30,82.0,10.0,25.0,15.0,30.0,40.0,20.0,82.0,10.0,20.0,15.0,30.0,40.0,25.0,68.0,10.0,25.0,15.0,20.0,30.0,10.0
V7G8,72,5,10,15,20,30,20,82,0,10,5,15,40,30,82,0,15,10,20,40,15,82.0,10.0,15.0,10.0,20.0,35.0,10.0,82.0,10.0,25.0,15.0,30.0,40.0,60.0,82.0,10.0,25.0,15.0,30.0,40.0,20.0
V8G8,82,5,10,15,20,30,20,82,5,10,15,20,30,20,82,0,15,10,20,30,25,82.0,10.0,25.0,15.0,30.0,40.0,20.0,82.0,10.0,20.0,15.0,30.0,25.0,50.0,82.0,10.0,20.0,15.0,30.0,25.0,50.0
V9G8,72,10,15,5,20,30,20,85,0,10,5,20,40,25,82,0,15,10,20,30,25,85.0,10.0,20.0,10.0,30.0,40.0,60.0,82.0,10.0,25.0,15.0,30.0,40.0,60.0,82.0,10.0,25.0,15.0,30.0,40.0,60.0
V10G8,85,5,10,15,20,30,20,85,0,10,15,20,30,25,85,0,10,5,15,40,30,82.0,10.0,25.0,15.0,30.0,40.0,20.0,82.0,10.0,20.0,15.0,25.0,30.0,10.0,82.0,10.0,25.0,15.0,30.0,25.0,5.0
V1G9,85,5,10,15,20,30,10,85,5,10,15,20,30,10,85,0,10,15,20,30,25,85.0,10.0,20.0,10.0,30.0,40.0,50.0,85.0,10.0,20.0,10.0,30.0,40.0,50.0,75.0,10.0,20.0,10.0,30.0,40.0,50.0
V2G9,85,5,10,15,20,30,20,85,5,10,15,20,30,20,85,5,10,15,20,30,20,,,,,,,,85.0,10.0,20.0,10.0,30.0,40.0,5.0,75.0,10.0,20.0,10.0,30.0,40.0,5.0
V3G9,85,0,10,5,15,40,30,85,0,10,5,15,40,30,85,0,10,5,20,30,25,75.0,10.0,20.0,10.0,30.0,40.0,5.0,85.0,10.0,20.0,10.0,30.0,40.0,50.0,75.0,10.0,20.0,10.0,30.0,40.0,5.0
V4G9,85,0,10,5,15,40,30,85,0,10,5,20,40,25,85,0,10,5,15,40,30,85.0,10.0,20.0,10.0,30.0,40.0,5.0,85.0,10.0,20.0,10.0,30.0,40.0,5.0,85.0,10.0,20.0,10.0,30.0,40.0,60.0
V5G9,85,5,10,15,20,30,10,85,5,10,15,20,30,20,85,0,10,5,15,40,30,85.0,10.0,30.0,20.0,25.0,40.0,5.0,75.0,10.0,20.0,10.0,30.0,40.0,5.0,70.0,15.0,30.0,20.0,25.0,40.0,50.0
V6G9,85,5,10,15,20,30,10,85,0,10,5,15,40,30,85,0,10,5,15,40,30,85.0,10.0,20.0,10.0,30.0,40.0,50.0,,,,,,,,70.0,10.0,25.0,15.0,30.0,40.0,10.0
V7G9,85,0,10,5,20,40,25,85,0,10,5,15,40,30,85,0,10,5,20,40,25,85.0,10.0,20.0,10.0,30.0,40.0,60.0,85.0,10.0,20.0,10.0,30.0,40.0,60.0,75.0,10.0,20.0,10.0,30.0,40.0,50.0
V8G9,85,5,10,15,20,30,20,85,5,10,15,20,30,10,85,5,10,15,20,30,20,85.0,10.0,20.0,10.0,30.0,40.0,50.0,85.0,10.0,20.0,10.0,30.0,40.0,50.0,85.0,10.0,20.0,10.0,30.0,40.0,50.0
V9G9,85,0,10,5,20,40,25,85,0,10,5,20,40,25,85,0,10,5,20,40,25,,,,,,,,85.0,10.0,20.0,10.0,30.0,40.0,60.0,75.0,10.0,20.0,10.0,30.0,40.0,50.0
V10G9,85,5,10,15,20,30,10,85,0,10,15,20,30,25,85,0,10,5,15,40,30,85.0,10.0,20.0,10.0,30.0,40.0,50.0,85.0,10.0,20.0,10.0,30.0,40.0,50.0,75.0,10.0,20.0,10.0,30.0,40.0,50.0
V1G10,85,5,15,20,30,25,5,85,5,15,20,30,25,10,85,5,15,20,30,25,5,82.0,10.0,20.0,15.0,30.0,25.0,50.0,85.0,10.0,20.0,10.0,30.0,25.0,45.0,85.0,10.0,20.0,10.0,30.0,40.0,50.0
V2G10,85,5,15,20,30,25,5,85,5,15,20,30,25,5,85,5,15,20,30,25,5,,,,,,,,85.0,20.0,30.0,10.0,25.0,40.0,35.0,85.0,10.0,20.0,10.0,30.0,40.0,50.0
V3G10,85,0,15,5,20,40,20,85,0,5,15,20,40,20,85,0,15,5,10,40,30,85.0,10.0,20.0,10.0,30.0,40.0,60.0,85.0,10.0,20.0,10.0,30.0,40.0,60.0,85.0,10.0,20.0,10.0,30.0,20.0,40.0
V4G10,85,0,5,15,20,40,20,85,0,5,15,20,40,20,85,0,15,5,10,40,30,85.0,10.0,20.0,10.0,30.0,40.0,50.0,85.0,10.0,20.0,10.0,30.0,25.0,5.0,85.0,10.0,20.0,10.0,30.0,40.0,50.0
V5G10,85,5,15,20,25,30,5,85,0,5,15,20,40,20,85,0,5,15,20,40,20,85.0,10.0,30.0,20.0,25.0,40.0,5.0,85.0,10.0,20.0,15.0,30.0,25.0,5.0,65.0,10.0,20.0,10.0,30.0,25.0,5.0
V6G10,85,5,15,20,10,30,20,85,5,15,20,10,30,20,85,5,15,20,10,30,20,,,,,,,,85.0,10.0,30.0,20.0,25.0,40.0,5.0,65.0,10.0,20.0,10.0,30.0,40.0,50.0
V7G10,82,5,15,20,30,25,5,85,0,15,5,20,40,20,85,0,15,5,20,40,20,82.0,10.0,25.0,15.0,30.0,40.0,60.0,85.0,10.0,20.0,10.0,30.0,40.0,60.0,85.0,10.0,20.0,10.0,30.0,40.0,60.0
V8G10,85,5,15,20,30,25,5,85,5,15,20,30,25,10,85,5,15,20,30,25,5,82.0,5.0,15.0,10.0,30.0,40.0,25.0,85.0,10.0,20.0,10.0,30.0,40.0,50.0,85.0,10.0,20.0,10.0,30.0,25.0,45.0
V9G10,82,0,5,2,15,40,38,85,0,5,2,8,40,45,85,0,15,5,20,40,20,82.0,10.0,25.0,15.0,30.0,40.0,60.0,85.0,10.0,20.0,10.0,30.0,40.0,60.0,85.0,10.0,20.0,10.0,30.0,40.0,60.0
V10G10,85,5,15,20,30,25,10,85,0,15,5,20,30,30,85,0,15,5,10,40,30,82.0,5.0,10.0,15.0,20.0,30.0,15.0,85.0,10.0,20.0,10.0,30.0,25.0,45.0,85.0,10.0,20.0,10.0,30.0,25.0,45.0
